1700001C19Rik,1.70E+00,1.92E+00
1700001G11Rik,-2.56E+00,-1.81E+00
1700001G17Rik,-3.15E+00,-3.69E+00
1700001J11Rik,-6.03E+00,-6.62E+00
1700001K23Rik,-3.07E+00,-4.23E+00
1700001L05Rik,-1.57E+00,-2.06E+00
1700001L19Rik,-1.10E-01,-3.32E-01
1700001O22Rik,-2.61E+00,-2.25E+00
1700001P01Rik,-2.49E+00,-4.20E+00
1700003D09Rik,-3.29E+00,-3.18E+00
1700003E16Rik,-6.25E+00,-6.30E+00
1700003F12Rik,-3.45E+00,-1.80E+00
1700003G18Rik,-1.21E+00,-3.75E+00
1700003M02Rik,-3.41E+00,-2.52E+00
1700003M07Rik,-2.47E+00,-2.20E+00
1700007G11Rik,-2.55E+00,-2.08E+00
1700007J10Rik,3.33E+00,3.28E+00
1700007K13Rik,2.81E-01,9.96E-01
1700007L15Rik,6.38E-01,1.11E+00
1700007P06Rik,-4.54E+00,-4.75E+00
1700008I05Rik,-1.98E+00,-1.51E+00
1700008J07Rik,1.07E-01,1.69E-01
1700008O03Rik,-3.78E+00,-4.95E+00
1700009N14Rik,-1.40E+00,-2.14E+00
1700009P17Rik,2.35E+00,2.06E+00
1700010I02Rik,-3.13E+00,-2.34E+00
1700010I14Rik,-2.70E+00,-2.85E+00
1700011A15Rik,-3.63E+00,-2.70E+00
1700011E24Rik,-2.55E+00,-2.58E+00
1700011H14Rik,3.90E-01,-3.26E+00
1700011J10Rik,1.54E+00,2.00E+00
1700011M02Rik,4.27E+00,4.24E+00
1700012B15Rik,1.65E+00,1.74E+00
1700012D01Rik_Tmem194,1.93E+00,2.44E+00
1700012D14Rik,-3.02E-01,-5.94E-01
1700013G23Rik,-2.90E+00,-2.61E+00
1700016C15Rik,-4.40E+00,-3.84E+00
1700016D06Rik,-4.19E+00,-4.09E+00
1700016G22Rik,-3.59E+00,-3.36E+00
1700016H13Rik,-3.50E+00,-3.06E+00
1700016K19Rik,-8.70E-01,-3.38E-01
1700017B05Rik,4.66E+00,4.73E+00
1700018A04Rik,-3.55E+00,-5.07E+00
1700018B24Rik,-5.67E+00,-6.70E+00
1700018G05Rik,2.49E-01,1.09E+00
1700018L02Rik,1.44E+00,1.40E+00
1700019B03Rik,-2.75E+00,-4.06E+00
1700019B21Rik,1.03E+00,-3.32E+00
1700019D03Rik,2.32E+00,2.10E+00
1700019G17Rik_Cml1,4.42E-01,1.03E-01
1700019L03Rik,-1.24E-01,-1.67E-01
1700020I14Rik,4.30E+00,4.28E+00
1700020L24Rik,4.77E+00,4.86E+00
1700020N01Rik,-5.73E+00,-6.82E+00
1700021F05Rik,5.69E+00,5.88E+00
1700021K19Rik,3.90E+00,3.84E+00
1700021N21Rik,-5.44E+00,-5.48E+00
1700022E09Rik,-4.50E+00,-4.54E+00
1700023A16Rik,-5.91E+00,-5.51E+00
1700023E05Rik,-3.61E+00,-3.03E+00
1700023F06Rik,-1.60E+00,-1.77E+00
1700023L04Rik,-1.45E+00,-1.88E+00
1700024F13Rik,-3.22E+00,-4.32E+00
1700024G13Rik,-1.99E+00,-3.68E+00
1700024P16Rik,-3.21E+00,-2.69E+00
1700025E21Rik,-3.37E+00,-3.24E+00
1700025G04Rik,8.52E+00,8.68E+00
1700025N23Rik,-3.33E+00,-3.04E+00
